index_biais,nom,mecanisme,declencheurs,exemple,faux_positif,validation
DIMA20,Effet de retournement émotionnel,Amplification émotionnelle par rupture d'attente affective.,"""Contre toute attente"", ""Déception forte""","""Un espoir déçu renforce la colère.""","""Une déception est perçue calmement sans exagération émotionnelle.""",💡 Présent si Si la rupture émotionnelle provoque une réaction disproportionnée.
DIMA21,Effet de fausse mémoire,Création ou modification de souvenirs suite à des influences externes ou reconstructions mentales.,"""Je suis sûr que"", ""Je me rappelle que""","""Il croit se souvenir d'un événement qui n'a jamais eu lieu.""","""Il reconnaît son incertitude sur ses souvenirs.""",💡 Présent si Si un souvenir inexistant est affirmé avec confiance.
DIMA22,Effet de confiance excessive,Surestimation de ses capacités ou connaissances réelles.,"""Je suis sûr"", ""C'est évident""","""Il affirme des informations erronées avec assurance.""","""Il vérifie systématiquement ses certitudes.""",💡 Présent si Si la certitude dépasse la justesse réelle de manière systématique.
DIMA23,Effet d'illusion de contrôle,Croyance exagérée de pouvoir influencer des événements incontrôlables.,"""Grâce à moi"", ""Je contrôle cela""","""Il pense influencer un tirage au sort par ses gestes.""","""Il reconnaît l’indépendance du résultat par rapport à ses actions.""",💡 Présent si Si une maîtrise est perçue là où il n'y en a pas.
DIMA24,Effet d'amorçage émotionnel,Modification du jugement suite à une stimulation émotionnelle préalable.,"""Après cette ambiance"", ""Sous influence émotionnelle""","""Après avoir vu une scène triste, il juge plus sévèrement.""","""Son jugement reste stable quelle que soit l'ambiance précédente.""",💡 Présent si Si une émotion préalable oriente inconsciemment l'évaluation suivante.
DIMA25,Effet de simplification heuristique,Usage de raccourcis mentaux rapides pour évaluer des situations complexes.,"""Raccourci"", ""Décision intuitive""","""Il juge un risque uniquement par la peur qu'il inspire.""","""Il analyse rationnellement toutes les dimensions d'une décision.""",💡 Présent si Si une décision complexe est résumée par une heuristique simple.
DIMA26,Effet d'atténuation de l'alerte,Diminution de la vigilance face à un danger par absence d’incident visible.,"""Pas grave"", ""Toujours rien""","""Après plusieurs fausses alertes, il ignore les consignes.""","""Il reste prudent malgré l'absence d'événements.""",💡 Présent si Si la perception du risque baisse sans modification réelle de la menace.
DIMA27,Biais d'optimisme irréaliste,Tendance à croire que les événements négatifs arrivent plus aux autres qu'à soi.,"""Ça n'arrive qu'aux autres""","""Il croit qu'il est moins exposé aux accidents que la moyenne.""","""Il évalue objectivement son risque personnel.""",💡 Présent si Si l'estimation personnelle du risque est systématiquement inférieure à la moyenne.
DIMA28,Biais de normalisation du déviant,Acceptation progressive de comportements déviants devenus fréquents.,"""On s'y habitue"", ""C'est la norme maintenant""","""Des infractions répétées deviennent acceptées comme normales.""","""Il reste critique malgré la répétition des écarts.""",💡 Présent si Si une répétition d'écarts entraîne leur normalisation cognitive.
W001,Biais d'ancrage,Surestimation d'une première information donnée pour évaluer une situation ultérieure.,"""Premier prix"", ""Référence initiale""","""Une maison semble bon marché après avoir vu une maison plus chère.""","""Chaque maison est évaluée indépendamment.""",💡 Présent si Présent si la première information influence le jugement final.
W002,Biais de disponibilité,Juger la probabilité d'un événement selon la facilité avec laquelle des exemples nous viennent à l'esprit.,"""On en entend parler"", ""Souvenir marquant""","""Il surestime les risques d'accidents d’avion après un crash médiatisé.""","""Il évalue objectivement la probabilité.""",💡 Présent si Présent si l'accessibilité de l'exemple déforme la probabilité estimée.
W003,Effet de halo,Une impression générale influence l'évaluation des caractéristiques spécifiques.,"""Belle apparence"", ""Bonne première impression""","""Un employé bien habillé est perçu comme compétent.""","""Chaque qualité est évaluée séparément.""",💡 Présent si Présent si une caractéristique influence l’ensemble du jugement.
W004,Effet de simple exposition,Préférence pour un stimulus par exposition répétée sans interaction consciente.,"""Déjà vu"", ""Connu""","""Un logo vu plusieurs fois paraît plus fiable.""","""Les préférences restent indépendantes de la fréquence d’exposition.""",💡 Présent si Présent si la simple exposition augmente la préférence.
W005,Effet de récence,Meilleure mémorisation ou influence accrue des dernières informations reçues.,"""Dernier argument"", ""Dernière impression""","""Il se souvient surtout des derniers points abordés.""","""Toutes les informations sont traitées également.""",💡 Présent si Présent si l'information récente prime sur les précédentes.
W006,Effet de primauté,Meilleure mémorisation ou influence des premières informations reçues.,"""Première impression"", ""Au départ""","""Il se rappelle davantage des premiers éléments d’une liste.""","""Chaque information a la même pondération.""",💡 Présent si Présent si les premières informations dominent la mémorisation ou l'impression.
W007,Biais de confirmation,Recherche ou interprétation d’informations qui confirment ses croyances préexistantes.,"""Confirmer ce que l'on pense"", ""Ignorer les contre-arguments""","""Il lit uniquement des articles qui renforcent son opinion politique.""","""Il lit et considère des arguments opposés.""",💡 Présent si Présent si l'attention et l'interprétation filtrent pour valider des croyances existantes.
W008,Biais de négativité,Poids cognitif plus important donné aux expériences négatives qu’aux positives.,"""Choc négatif"", ""Marqué par l’échec""","""Il retient plus une critique que dix compliments.""","""Il évalue positivement et négativement de manière équilibrée.""",💡 Présent si Présent si les éléments négatifs dominent émotionnellement et cognitivement.
W009,Effet de contraste,Accentuation des différences perçues entre deux stimuli présentés successivement.,"""Comparer juste après"", ""Opposition forte""","""Une voiture ordinaire paraît luxueuse après en avoir vu une très vieille.""","""Chaque stimulus est évalué indépendamment.""",💡 Présent si Présent si la perception est modifiée par contraste.
W010,Effet Von Restorff,Mémorisation accrue d'un élément distinctif au sein d'un ensemble homogène.,"""Objet unique"", ""Élément qui ressort""","""Un produit en packaging fluorescent est mieux retenu.""","""Tous les éléments sont mémorisés uniformément.""",💡 Présent si Présent si l'élément distinctif attire et renforce la mémorisation.
W011,Effet Barnum (ou effet Forer),Wikipédia.,Tendance à accepter des descriptions vagues et générales comme étant personnellement très précises.,Appropriation subjective d'énoncés génériques ,"""Vous êtes parfois réservé mais aussi sociable"", ""Vous traversez des périodes de doute.""","💡 Présent si ""Horoscopes décrivant des traits de personnalité valables pour tous."""
W012,Effet Dunning-Kruger,Wikipédia.,"Biais selon lequel les personnes incompétentes surestiment leurs compétences, tandis que les personnes compétentes sous-estiment les leurs.",Surestimation de soi chez les moins compétents ,"""Confiance absolue en soi"", ""Je suis meilleur que tout le monde"", ""Pas besoin d'expert""","💡 Présent si ""Débutants se croyant experts dans un domaine technique."""
W013,Biais de statu quo,"Préférence pour la situation actuelle, par peur ou par inertie, malgré de meilleures alternatives.","""Rester comme avant"", ""Ne pas changer""","""Il garde un abonnement médiocre par peur du changement.""","""Il évalue les options sans préférence pour le statu quo.""",💡 Présent si Présent si la préférence pour l’état actuel l’emporte sur l’analyse objective.
W014,Effet de faux consensus,Surestimation du degré d'accord d'autrui avec nos propres opinions ou comportements.,"""Tout le monde pense pareil"", ""Tout le monde fait ça""","""Il croit que la majorité partage son avis.""","""Il reconnaît des divergences d'opinion facilement.""",💡 Présent si Présent si l'individu projette ses propres croyances sur la majorité perçue.
W023,Effet de biais d'autocomplaisance,Wikipédia.,Tendance à attribuer ses succès à ses qualités personnelles et ses échecs à des facteurs externes.,"Attribution interne pour les réussites, attribution externe pour les échecs.","""J'ai réussi parce que je suis compétent"", ""C’est la faute des autres si j'ai échoué""","💡 Présent si ""Un étudiant explique son succès à un examen par son intelligence et son échec par la difficulté injuste du test."""
