Index;Bloc;Titre;Type
075;H;Avancement au grade de la hors-classe des maîtres contractuels ou agréés à titre définitif des établissements d'enseignement privés sous contrat relevant des échelles de rémunération des professeurs agrégés, des professeurs certifiés, des professeurs de lycée professionnel, des professeurs d’éducation physique et sportive et des professeurs des écoles. Accès à la liste d’aptitude des chaires supérieures.;Legislatif
076;H;Sécurité : Pour ses conseils aux voyageurs, les États-Unis classent désormais le Salvador devant la France et le Royaume Uni, pays dans lesquels il faut “redoubler de prudence”;Opinion
077;H;Les syndicats perdent 370 000 adhérents… mais encaissent 20 millions d’euros en plus, payés par l’État et les salariés;Opinion
078;H;Le pianiste Igor Levit interprète seul les « Vexations » de Satie, 840 répétitions du même motif pour une performance de plus de seize heures;Mainstream
079;H;Refus d’obtempérer à Paris : un homme entre la vie et la mort après une course-poursuite à trottinette et après avoir été contrôlé à 78km/h;Opinion
080;H;Montpellier (34) : Un ado se fait sectionner un doigt par un migrant algérien en tentant de récupérer sa trottinette volée, les pompiers menacés par les agresseurs (MàJ);Opinion
081;I;Gaza : 22 pays exigent d’Israël une « reprise complète de l’aide, immédiatement » ;AFP
082;I;Actions nationales 2023 de l’inspection des installations classées.;Legislatif
083;I;Attribution des nuances aux candidats aux élections législatives de 2022;Legislatif
084;I;Accord pour lancer un contrôle automatisé aux frontières de l’UE ;AFP
085;I;Balenciaga nomme le créateur Pierpaolo Piccioli pour succéder à Demna ;AFP
086;I;Bras de fer entre les députés et l’homme d’affaires Stérin sur son audition par une commission ;AFP
087;I;Fouad Mebazaa, premier président tunisien d’après la révolution de 2011, est mort à 91 ans;Mainstream
088;I;Le président égyptien Sisi offre des repas McDonald’s aux enfants pour l’Aïd, malgré les appels au boycott.;Opinion
089;I;Microsoft annonce héberger Grok, le modèle d’intelligence artificielle de Musk ;AFP
090;I;Saint-Denis (93) – Incendie criminel contre un bâtiment municipal destiné à la jeunesse;Opinion
091;J;A Rome, près de 61 000 fidèles se recueillent devant le cercueil du pape François;Mainstream
092;J;Addendum sanitaire à l'instruction INTA2207817C relative à l'organisation matérielle et au déroulement de l'élection du Président de la République;Legislatif
093;J;Retour à la normale à l’aéroport de Paris-Orly, « totalité du programme de vol » assurée dans les jours à venir ;AFP
094;J;A Marseille, Bruno Retailleau annonce que 21 « hauts responsables » d’un réseau de trafic de stupéfiants ont été interpellés;Mainstream
095;J;Montpellier : deux sauvages attaques à la machette en quelques heures. Des habitants du quartier alertent sur l’insécurité, d’autres sont résignés. “Juste ça fait passer les Maghrébins pour des hommes dangereux, c’est usant”;Opinion
096;J;A Nantes, un lycéen poignarde plusieurs élèves dans un établissement scolaire, faisant un mort et trois blessés;Mainstream
097;J;Après l’attentat au Cachemire, la riposte de New Delhi fait craindre une escalade entre l’Inde et le Pakistan;Mainstream
098;J;Le secteur du tourisme présente des plans d’action pour économiser l’eau;Mainstream
099;J;Après une baisse des vaccinations, des maladies évitables repartent à la hausse, alerte l’ONU;Mainstream
100;J;Un sondage révèle une baisse du soutien du public américain envers Israël et Netanyahu.;Opinion
101;K;Des colons attaquent un réalisateur palestinien primé aux Oscars, puis l’armée israélienne l’arrête;Opinion
102;K;Guerre commerciale : l’Europe craint de subir un déferlement de produits chinois détournés du marché américain;Opinion
103;K;Marseille – agression au Consulat du Maroc : un migrant clandestin algérien mord au visage un agent de sécurité et menace de mort le vice-consul;Opinion
104;K;Les Maldives interdisent l’entrée des « Israéliens » en signe de protestation contre la guerre à Gaza.;Opinion
105;K;Episode de crues : seules la Gironde et la Charente-Maritime demeurent en vigilance orange;Mainstream
106;K;En Serbie, plus de 80 000 litres de pétrole s’échappent d’une barge sur le Danube;Mainstream
107;K;La voie est libre pour l’adoption de l’accord sur les pandémies ;AFP
108;K;Attaque en Angleterre : le terroriste islamiste Hashem Abedi – complice et frère de l’auteur de l’attentat du concert d’Ariana Grande à Manchester – poignarde et ébouillante trois surveillants dans la prison où il est détenu;Opinion
109;K;Île-de-France : démantèlement d’un vaste réseau de blanchiment d’argent. Plus de 3,4 millions d’euros de la prostitution chinoise blanchis avec des chèques restaurants et des chèques vacances;Opinion
110;K;Nice – Un homme abattu de cinq balles en pleine nuit, connu des services de police;Opinion
