nom,definition_operationnelle,structure_cognitive_typique,indices_linguistiques_contextuels,contexte_rhetorique_typique,critere_de_validation,exemple_positif,exemple_faux_positif,mise_en_garde,question_annotation
Biais de disponibilité,Juger la probabilité d'un événement selon la facilité avec laquelle des exemples nous viennent à l'esprit.,,"""On en entend parler"", ""Souvenir marquant""",,💡 Présent si Présent si l'accessibilité de l'exemple déforme la probabilité estimée.,"""Il surestime les risques d'accidents d’avion après un crash médiatisé.""","""Il évalue objectivement la probabilité.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre met-il en avant un exemple marquant ou récent pour appuyer une idée générale ? (ex. : fait divers récent pris comme preuve d'une tendance)
Effet de halo,Une impression générale influence l'évaluation des caractéristiques spécifiques.,,"""Belle apparence"", ""Bonne première impression""",,💡 Présent si Présent si une caractéristique influence l’ensemble du jugement.,"""Un employé bien habillé est perçu comme compétent.""","""Chaque qualité est évaluée séparément.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de halo » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de simple exposition,Préférence pour un stimulus par exposition répétée sans interaction consciente.,,"""Déjà vu"", ""Connu""",,💡 Présent si Présent si la simple exposition augmente la préférence.,"""Un logo vu plusieurs fois paraît plus fiable.""","""Les préférences restent indépendantes de la fréquence d’exposition.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de simple exposition » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de récence,Meilleure mémorisation ou influence accrue des dernières informations reçues.,,"""Dernier argument"", ""Dernière impression""",,💡 Présent si Présent si l'information récente prime sur les précédentes.,"""Il se souvient surtout des derniers points abordés.""","""Toutes les informations sont traitées également.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de récence » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de primauté,Meilleure mémorisation ou influence des premières informations reçues.,,"""Première impression"", ""Au départ""",,💡 Présent si Présent si les premières informations dominent la mémorisation ou l'impression.,"""Il se rappelle davantage des premiers éléments d’une liste.""","""Chaque information a la même pondération.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de primauté » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de confirmation,Recherche ou interprétation d’informations qui confirment ses croyances préexistantes.,,"""Confirmer ce que l'on pense"", ""Ignorer les contre-arguments""",,💡 Présent si Présent si l'attention et l'interprétation filtrent pour valider des croyances existantes.,"""Il lit uniquement des articles qui renforcent son opinion politique.""","""Il lit et considère des arguments opposés.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre conforte-t-il un préjugé ou une opinion attendue, sans vraiment le remettre en question ? (ex. : cliché politique, figure rassurante, récit univoque)"
Biais de négativité,Poids cognitif plus important donné aux expériences négatives qu’aux positives.,,"""Choc négatif"", ""Marqué par l’échec""",,💡 Présent si Présent si les éléments négatifs dominent émotionnellement et cognitivement.,"""Il retient plus une critique que dix compliments.""","""Il évalue positivement et négativement de manière équilibrée.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de négativité » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de contraste,Accentuation des différences perçues entre deux stimuli présentés successivement.,,"""Comparer juste après"", ""Opposition forte""",,💡 Présent si Présent si la perception est modifiée par contraste.,"""Une voiture ordinaire paraît luxueuse après en avoir vu une très vieille.""","""Chaque stimulus est évalué indépendamment.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de contraste » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet Von Restorff,Mémorisation accrue d'un élément distinctif au sein d'un ensemble homogène.,,"""Objet unique"", ""Élément qui ressort""",,💡 Présent si Présent si l'élément distinctif attire et renforce la mémorisation.,"""Un produit en packaging fluorescent est mieux retenu.""","""Tous les éléments sont mémorisés uniformément.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet Von Restorff » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet Barnum (ou effet Forer),Wikipédia.,,Tendance à accepter des descriptions vagues et générales comme étant personnellement très précises.,,"💡 Présent si ""Horoscopes décrivant des traits de personnalité valables pour tous.""",Appropriation subjective d'énoncés génériques ,"""Vous êtes parfois réservé mais aussi sociable"", ""Vous traversez des périodes de doute.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet Barnum (ou effet Forer) » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet Dunning-Kruger,Wikipédia.,,"Biais selon lequel les personnes incompétentes surestiment leurs compétences, tandis que les personnes compétentes sous-estiment les leurs.",,"💡 Présent si ""Débutants se croyant experts dans un domaine technique.""",Surestimation de soi chez les moins compétents ,"""Confiance absolue en soi"", ""Je suis meilleur que tout le monde"", ""Pas besoin d'expert""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet Dunning-Kruger » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de statu quo,"Préférence pour la situation actuelle, par peur ou par inertie, malgré de meilleures alternatives.",,"""Rester comme avant"", ""Ne pas changer""",,💡 Présent si Présent si la préférence pour l’état actuel l’emporte sur l’analyse objective.,"""Il garde un abonnement médiocre par peur du changement.""","""Il évalue les options sans préférence pour le statu quo.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de statu quo » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de faux consensus,Surestimation du degré d'accord d'autrui avec nos propres opinions ou comportements.,,"""Tout le monde pense pareil"", ""Tout le monde fait ça""",,💡 Présent si Présent si l'individu projette ses propres croyances sur la majorité perçue.,"""Il croit que la majorité partage son avis.""","""Il reconnaît des divergences d'opinion facilement.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de faux consensus » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de biais d'autocomplaisance,Wikipédia.,,Tendance à attribuer ses succès à ses qualités personnelles et ses échecs à des facteurs externes.,,"💡 Présent si ""Un étudiant explique son succès à un examen par son intelligence et son échec par la difficulté injuste du test.""","Attribution interne pour les réussites, attribution externe pour les échecs.","""J'ai réussi parce que je suis compétent"", ""C’est la faute des autres si j'ai échoué""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de biais d'autocomplaisance » identifiable par une structure de pensée ou une logique implicite particulière ?
